bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,price
3,2,1650,9480,1,0,3,7,1220,430,305000
3,1,1190,8820,1,0,3,6,1190,0,166950
3,3,2140,9897,1,0,4,8,2140,0,799000
3,3,2180,7508,1,0,4,7,1420,760,400000
3,1,1060,10228,1,0,3,7,1060,0,230000
3,3,1690,5025,2,0,3,8,1690,0,256883
4,2,1970,6480,1.5,0,5,7,1130,840,423000
3,3,2150,4084,2,0,3,8,2150,0,465000
3,3,1910,66211,2,0,3,7,1910,0,440000
3,2,1350,155073,1,0,4,7,1350,0,385000
3,1,860,11725,1,0,4,6,860,0,210000
3,3,1940,14952,2,0,3,8,1940,0,297000
3,1,1010,5000,1,0,3,7,1010,0,470000
3,2,1300,7370,1,0,4,7,900,400,226500
3,1,910,8450,1,0,4,6,910,0,274250
4,2,2480,11010,1,0,4,9,1630,850,840000
3,3,2440,4587,2,0,3,8,2440,0,677900
3,1,1010,5864,1,0,3,7,1010,0,425000
2,1,900,9600,1,0,3,6,900,0,180250
6,3,2300,3404,2,0,3,7,1600,700,464000
4,2,1550,7579,2,0,3,8,1550,0,320000
3,2,1270,1566,2,0,3,8,1060,210,625504
4,3,2240,12032,1,0,3,9,2240,0,592500
3,3,2714,17936,2,0,3,9,2714,0,465000
4,3,1720,6270,2,0,3,8,1720,0,477000
2,1,850,16400,1,0,3,6,850,0,280000
5,3,3300,33474,1,0,3,9,1870,1430,1505000
3,3,2250,5692,2,0,3,8,2250,0,445838
2,2,3900,14864,1,0,3,8,1950,1950,1072000
2,2,1320,10800,1,0,4,8,1320,0,467000
4,3,2760,6440,2,0,3,10,2760,0,686000
3,2,1750,9750,1,0,3,7,1350,400,279950
4,2,2330,19436,2,0,3,8,2330,0,527000
3,2,2220,16020,1,0,4,8,1780,440,325000
3,2,2020,8379,2,0,3,7,2020,0,328000
3,2,1250,7500,1,0,5,7,1250,0,390000
2,2,1510,6516,1,0,3,8,1510,0,479950
4,2,1720,9753,1,0,4,7,1120,600,264950
3,1,1430,15246,1,0,4,7,980,450,235000
3,3,1480,4729,2,0,3,7,1480,0,516500
2,2,1450,15798,2,1,3,7,1230,220,655000
4,3,2280,15347,1,0,5,7,2280,0,500000
6,3,2940,7350,1,0,3,8,1780,1160,315000
2,1,1000,10200,1,0,3,6,1000,0,213000
3,2,2480,5280,1.5,0,5,7,1620,860,475000
5,4,3760,28040,2,0,3,10,3760,0,1025000
3,2,2220,94300,1,0,5,7,1640,580,416000
4,1,1970,4740,1.5,0,3,7,1670,300,410000
3,4,3830,221284,2,0,3,10,3530,300,800000
6,3,4410,14034,1,0,4,9,2350,2060,472000
3,2,1430,8505,1,0,4,7,1430,0,225000
2,1,830,6000,1,0,3,6,830,0,210000
2,1,1430,5000,1.5,0,2,7,1430,0,455000
3,1,1300,8316,1,0,4,6,1300,0,225000
2,1,1030,3060,1,0,4,7,790,240,480000
3,3,2740,11872,2,0,3,9,2740,0,363000
4,3,3650,8354,1,1,3,9,1830,1820,2400000
2,2,720,5120,1,0,3,6,720,0,181000
4,2,2010,7312,1,0,4,7,2010,0,250000
3,2,1560,3000,1,0,4,6,770,790,481000
3,2,1810,7209,1,0,4,7,1240,570,260000
4,3,3360,7685,2,0,3,9,3360,0,455000
3,2,1510,36224,2,0,3,8,1510,0,415000
3,1,1400,3538,1,0,3,7,800,600,349500
3,3,1730,7442,2,0,3,7,1730,0,245000
2,2,1420,9191,1.5,0,5,7,1420,0,592500
4,2,2360,7620,1,0,4,7,1180,1180,385000
3,2,1580,11455,1,0,4,7,1200,380,315000
3,1,1230,10170,1,0,3,7,1230,0,255000
4,3,2460,4425,2,0,3,8,2460,0,693000
3,1,1660,4400,1.5,0,3,8,1460,200,780000
3,2,1270,8470,1,0,4,7,1270,0,237000
3,2,2100,40510,2,0,3,10,1320,780,525000
2,1,770,5040,1,0,3,5,770,0,425000
1,1,760,10079,1,1,5,5,760,0,369900
4,3,1700,7280,2,0,4,7,1700,0,290000
3,1,1120,10701,1,0,3,7,1120,0,285000
2,1,1070,4500,1,0,3,7,1070,0,415000
3,3,2070,9900,1,0,3,8,1420,650,272500
4,3,5050,20100,1.5,0,3,11,4750,300,2900000
4,5,5310,57346,2,0,4,11,5310,0,1365000
2,1,1040,7538,1,0,4,7,1040,0,436000
3,1,1700,11390,1,0,4,7,1700,0,210000
3,1,1300,5898,1,0,3,7,1300,0,236000
3,2,1080,1306,1,0,3,7,580,500,331000
3,3,2653,4510,2,0,3,8,2653,0,365000
3,2,2290,16258,1,0,5,8,2290,0,450000
4,3,3820,26300,2,0,3,9,2850,970,770000
4,3,2210,49375,1,0,3,8,2210,0,455000
3,2,2390,6000,1,0,3,6,1240,1150,405000
4,2,2600,11325,1,0,4,7,1610,990,304900
2,1,860,5265,1,0,3,6,860,0,170000
5,3,3830,8480,2,0,5,9,2630,1200,2050000
4,3,3500,7048,2,0,3,9,3500,0,780000
3,3,2420,13959,1,0,4,8,1740,680,330000
4,3,2720,8666,2,0,3,9,2720,0,370000
5,2,2500,13500,1,0,3,7,1850,650,467000
3,2,1670,6720,1,0,3,7,1140,530,405000
5,2,2900,10300,1,0,3,8,1450,1450,675000
2,1,1640,14100,1,0,4,7,1140,500,500000
4,3,1890,15770,2,0,4,7,1890,0,389999
4,2,2950,9025,1,0,4,8,1780,1170,630000
4,3,2160,9528,2,0,3,9,2160,0,360000
4,3,3280,11060,2,0,3,8,2270,1010,580000
3,2,1970,4166,2,0,5,8,1270,700,550000
4,3,3360,22111,2,0,3,10,3360,0,879000
3,2,1320,8959,1,0,3,7,1320,0,265000
3,3,2650,7286,2,0,3,8,2650,0,446500
3,2,2030,8880,1,0,3,7,1330,700,404000
3,2,1590,11914,1,0,3,7,1090,500,267500
4,5,4550,18641,1,1,3,10,2600,1950,3075000
3,3,2440,7632,2,0,3,8,2440,0,335000
3,3,1940,9000,1,0,4,7,970,970,576000
3,3,2040,3810,2,0,3,8,2040,0,208633
3,2,2200,8750,1,0,4,7,1120,1080,315000
3,2,1920,3300,1,0,4,8,960,960,725000
4,3,1800,7750,1,0,4,8,1400,400,550000
4,2,2180,7297,2,0,3,8,2180,0,610750
2,1,1010,5000,1.5,0,4,6,1010,0,550700
4,3,3320,10574,2,0,5,8,2220,1100,665000
4,3,2370,4000,1.5,0,5,8,1980,390,834000
5,2,1660,78408,1.5,0,3,6,1660,0,201000
5,3,3650,9050,2,0,5,10,3370,280,2384000
4,3,4290,12103,1,0,3,11,2690,1600,1384000
4,3,4290,12103,1,0,3,11,2690,1600,1400000
4,2,1950,7700,1,0,3,8,1350,600,305000
3,2,2590,14052,1,0,5,8,1720,870,487000
3,3,1930,64904,1,0,4,8,1930,0,390000
2,1,1470,3864,1,0,4,7,1170,300,548000
4,1,800,8775,1,0,3,6,800,0,268750
5,3,3150,7119,2,0,3,9,3150,0,819900
3,2,2030,16200,2,0,3,8,2030,0,520000
3,2,1450,11204,1,0,3,7,1450,0,230000
3,2,1510,10248,1,0,3,7,1510,0,240000
2,1,1240,12092,1,0,3,6,960,280,232000
2,1,1240,12092,1,0,3,6,960,280,240500
3,3,3030,45004,2,0,3,9,3030,0,274975
4,2,2050,4400,1.5,0,4,9,2050,0,740000
3,1,1000,7636,1,0,2,7,1000,0,186375
3,2,2370,10289,1,0,4,9,1590,780,790000
4,4,2800,6750,2,0,3,9,1890,910,880000
6,2,2240,11180,2,0,4,7,2240,0,279000
3,2,1810,10530,1,0,3,8,1810,0,295000
2,1,1070,5000,1,0,3,7,1070,0,640000
4,2,2490,9525,2,0,5,9,2490,0,940000
4,3,1960,5238,2,0,3,7,1960,0,260000
3,3,2930,5569,1,0,3,9,1860,1070,559900
4,2,1510,3500,1.5,0,5,7,1510,0,791500
3,2,1420,8250,1,0,3,7,1420,0,265000
3,2,1740,11547,1,0,3,7,1740,0,245000
4,2,2560,43995,2,0,4,7,2560,0,485000
4,4,3040,8414,2,0,3,9,2420,620,684000
3,2,2500,6840,1,0,3,8,1300,1200,425000
4,2,1275,20000,1,0,4,6,1275,0,309600
4,3,2580,5823,2,0,3,8,2580,0,552250
4,1,1000,7134,1,0,3,6,1000,0,165000
4,1,1000,7134,1,0,3,6,1000,0,239900
2,1,1070,32633,1,0,4,6,1070,0,320000
3,2,1390,13464,1,0,4,7,1390,0,206600
4,2,2500,7690,1,0,3,7,1250,1250,387000
1,1,560,12120,1,0,3,4,560,0,299000
4,3,2270,10460,2,0,3,9,2270,0,855000
3,1,1900,14400,1,0,4,7,1300,600,315000
2,1,990,3120,1,0,5,7,790,200,437500
4,2,1550,19800,1,0,4,7,1050,500,252000
4,2,2200,7475,1,0,5,7,1100,1100,375000
4,3,1910,4862,2,0,3,7,1910,0,300000
4,1,1750,9600,1.5,0,4,7,1750,0,420000
3,1,1330,77972,1,0,3,7,1330,0,900000
3,3,2440,5750,2,0,3,9,1980,460,679900
3,3,1640,29970,2,0,3,7,1640,0,463000
5,3,2760,11340,2,0,4,9,2760,0,380000
4,3,1820,7912,2,0,3,7,1820,0,329500
3,3,2110,5608,1,0,3,8,1340,770,604950
5,3,3040,9570,1,0,4,8,1640,1400,795000
3,2,1840,40438,2,0,3,7,1840,0,465000
4,3,2990,10400,2,0,3,9,2990,0,673000
4,3,3520,15420,2,0,3,10,3520,0,810000
4,3,2440,69415,1,0,4,8,1910,530,785000
4,3,2090,7500,1,0,3,7,1370,720,338000
3,2,1430,7222,2,0,3,7,1430,0,280000
4,2,2180,10754,1,0,5,7,1100,1080,315000
4,2,2180,10754,1,0,5,7,1100,1080,530000
5,3,3450,9914,2,0,3,9,3450,0,380000
3,2,1450,7562,2,0,3,7,1450,0,297000
4,3,3230,7331,2,0,3,10,3230,0,730000
3,2,1640,13500,1,0,3,7,1110,530,450000
3,3,1590,7750,1,0,3,7,1060,530,275000
4,2,2020,2849,2,0,3,7,2020,0,595000
3,2,1300,3348,1.5,0,3,7,1300,0,435000
2,2,1380,209959,1,0,1,6,1380,0,270000
3,3,4040,14338,2,0,3,10,3030,1010,950000
4,2,2130,5337,2,0,3,7,2130,0,389000
4,2,2550,7800,1,0,3,8,1580,970,560000
5,4,4800,14984,2,0,3,11,3480,1320,1350000
4,2,2510,11585,2,0,4,8,2510,0,799000
3,2,1410,9600,1,0,4,7,1410,0,365500
3,2,1650,7352,1,0,3,7,1160,490,252350
4,3,2120,13780,2,0,3,8,2120,0,403950
4,2,2040,10726,1,0,3,7,1380,660,385000
4,1,1550,7620,1.5,0,3,7,1550,0,345000
3,3,1980,3128,2,0,4,9,1980,0,490000
3,3,1600,26977,2,0,3,8,1600,0,330000
4,3,3300,12090,2,0,3,8,3300,0,927000
4,3,3840,16619,2,0,4,10,3840,0,1118000
2,1,1220,10000,1,0,5,7,1220,0,330000
5,2,2720,8800,1,0,4,7,1500,1220,530000
4,2,1940,25600,1,0,1,8,1940,0,365000
3,3,2160,3000,1.5,0,3,7,1260,900,378750
4,2,1530,8750,1.5,0,4,7,1530,0,269900
3,4,1710,2096,2,0,3,8,1290,420,557000
4,2,3730,16980,1,0,4,7,2150,1580,360000
2,1,940,5000,1,0,4,7,940,0,352000
3,3,1750,22357,2,0,3,8,1750,0,437000
4,3,1820,6753,2,0,3,7,1820,0,322500
3,3,1510,2000,2,0,3,9,1330,180,650000
3,2,1290,1213,3,0,3,8,1290,0,450000
3,2,1570,5250,1,0,3,7,1570,0,278500
4,3,1930,6957,2,0,3,8,1930,0,364950
4,4,2840,40139,1,0,4,10,2840,0,840000
3,3,1550,8134,2,0,3,7,1550,0,268000
2,1,833,143947,1,0,3,5,833,0,517534
3,3,2990,32239,2,0,4,8,2990,0,632925
3,3,2000,7251,2,0,3,9,2000,0,577500
4,2,2390,7480,1.5,0,3,7,2390,0,339000
3,2,2910,37461,1,0,4,7,1530,1380,570000
4,2,2085,174240,1,0,3,7,1610,475,563500
4,2,2200,9351,1,0,5,7,1290,910,423000
3,2,1860,5028,2,0,3,8,1860,0,355000
5,4,6070,171626,2,0,3,12,6070,0,1550000
2,1,950,3960,1,0,3,7,950,0,482000
3,2,1600,9135,1,0,5,7,1600,0,625000
3,3,2250,11632,2,0,3,8,2250,0,538000
3,3,2280,10255,2,0,4,8,2280,0,380000
2,1,940,5120,1,0,3,7,940,0,375000
3,3,1530,8500,1,0,5,7,1030,500,245000
5,2,2190,27260,1,0,4,7,2190,0,310000
3,2,2350,15021,1,0,4,8,1770,580,1300000
4,2,1440,7680,1,0,3,7,1200,240,397000
3,3,2200,4052,2,0,3,8,2200,0,365000
4,3,2290,8250,2,0,3,9,2290,0,328500
4,3,4040,19700,2,0,3,11,4040,0,988000
4,3,2610,3277,1.5,0,5,8,1920,690,1000000
3,3,1490,2138,2,0,3,7,1490,0,237000
4,3,2450,5280,2,0,3,8,2450,0,525000
4,3,1710,9627,1,0,3,9,1440,270,749000
5,3,4870,11800,2,0,3,10,3470,1400,722500
3,3,3130,8750,2,0,3,10,3130,0,843000
2,2,1270,1372,3,0,3,8,1270,0,438000
3,2,2120,10875,1,0,3,8,1540,580,578000
3,2,1670,8230,1,0,5,7,1670,0,227950
3,2,2070,11576,2,0,3,7,2070,0,196000
2,1,1420,5332,1,0,3,8,1070,350,641000
3,2,1250,219978,1,0,4,6,1250,0,350000
3,1,940,7980,1,0,4,7,940,0,205000
3,2,1920,9102,1,0,3,7,1920,0,400000
3,3,3545,9816,1,0,3,10,2610,935,1030000
3,2,1260,5460,1,0,3,7,1260,0,505000
5,3,2340,7200,1,0,3,7,1300,1040,475000
3,2,2590,9263,1,0,5,8,1440,1150,520000
3,5,3970,24920,2,0,3,10,3260,710,1450000
3,2,1220,9732,1,0,3,7,1220,0,333500
3,1,1400,10403,1,0,4,6,1400,0,232000
3,3,2360,16117,1,0,4,8,1710,650,691100
3,2,1870,9897,1,0,4,8,1870,0,811000
3,3,2830,5802,2,0,3,9,2830,0,551000
3,3,2260,3640,2,0,3,8,2260,0,496500
3,3,1970,20978,2,1,4,9,1770,200,705000
4,3,3140,9225,1,0,5,9,1770,1370,578000
3,2,1240,8659,1,0,5,7,1240,0,255000
4,4,3450,7832,2,0,3,10,3450,0,1050000
3,2,2570,8491,2,0,4,8,2570,0,348000
3,2,1510,3413,2,0,3,7,1510,0,230000
4,2,2390,11250,2,0,3,9,2390,0,359500
3,1,980,7000,1,0,3,6,980,0,330000
1,1,430,5050,1,0,2,4,430,0,80000
3,2,1480,6360,1,0,3,7,1480,0,465000
4,3,1850,7324,2,0,3,8,1850,0,325000
3,2,2270,28025,1,0,4,7,1920,350,340500
3,3,1810,5192,2,0,3,8,1810,0,342500
2,2,1610,17600,2,0,3,6,1610,0,290900
3,4,3840,6161,2,0,3,10,3840,0,868700
4,3,4110,8400,2,0,3,9,3130,980,1199000
4,3,4190,10259,2,0,3,11,3150,1040,1150000
4,3,3390,6298,2,0,3,9,3390,0,859900
4,2,1890,3006,2,0,3,7,1890,0,520000
3,3,1610,2527,2,0,3,9,1080,530,460000
3,2,1050,4590,1,0,3,7,850,200,438924
2,1,630,6550,1,0,3,5,630,0,315000
4,3,2910,10650,1,0,3,8,1780,1130,590000
4,2,1700,8640,1,0,3,7,850,850,378500
3,3,1950,8130,2,0,4,9,1950,0,328500
3,3,2990,9773,2,0,4,8,2990,0,849950
3,2,1350,6000,1,0,3,7,900,450,525000
4,3,4860,181319,2.5,0,3,9,4860,0,1385000
4,3,2160,7725,1,0,4,8,1460,700,295000
6,4,4860,11793,2,0,3,11,3860,1000,1067000
2,2,890,5000,1,0,3,6,890,0,207950
4,3,2810,7302,2,0,3,9,2810,0,699900
5,3,3400,9500,2,0,4,8,3400,0,1280000
4,2,1580,7350,1,0,4,7,960,620,452000
3,2,1680,5036,1,0,4,7,1680,0,370000
3,2,1300,11230,1,0,5,7,1300,0,232000
5,3,2820,14062,2,0,4,7,2380,440,669950
3,2,1510,6710,1,0,3,7,1070,440,397500
2,3,1230,1391,2,0,3,8,870,360,490000
4,2,2110,4140,2,0,3,9,1710,400,725000
3,3,3080,19635,1,0,4,7,1610,1470,299000
2,2,1490,5750,1.5,0,4,7,1190,300,625000
3,3,2120,4500,2,0,3,7,2120,0,437500
4,3,3180,5438,2,0,3,9,3180,0,650000
2,1,1490,3825,1,0,3,7,860,630,475000
3,2,1930,11947,1,0,4,8,1930,0,342000
4,3,2770,7800,2,0,3,10,2770,0,1197350
3,2,1670,11610,1,0,4,7,1670,0,280000
2,2,1330,7200,1,0,3,7,1330,0,240000
3,1,1210,3328,1.5,0,4,7,1210,0,529000
3,1,1190,5100,1,0,4,7,1030,160,442000
2,1,1540,6872,1,0,4,7,820,720,615000
4,4,4030,10800,2,0,3,10,4030,0,1485000
4,2,2430,7559,1,0,4,8,1580,850,585000
4,3,2600,7787,2,0,3,8,2600,0,480000
5,4,4410,57063,2,0,4,9,4410,0,1095000
4,1,1330,8184,1.5,0,3,7,1330,0,290000
3,2,1900,5000,1,0,5,7,950,950,615000
2,1,1100,7680,1,0,4,7,1100,0,300000
3,1,1980,39150,1.5,0,3,6,1580,400,308000
3,3,2400,7745,2,0,3,9,2400,0,750000
4,2,4760,8036,2.5,0,5,9,3390,1370,2250000
4,3,3180,194278,2,0,3,10,3180,0,890000
3,1,1190,7560,1,0,5,6,1190,0,288000
2,1,630,6000,1,0,3,6,630,0,190000
5,3,2530,5105,1,0,3,8,1520,1010,515000
4,2,1690,11054,1,0,4,5,1690,0,235000
2,1,940,5000,1,0,3,6,940,0,275000
2,2,1240,9119,1,0,4,7,1240,0,727500
4,3,3040,6587,2,0,3,7,3040,0,650000
6,5,6050,230652,2,0,3,11,6050,0,1600000
4,1,1590,7085,1.5,0,3,6,1590,0,365000
3,2,2500,36947,1,0,3,9,2500,0,662000
